Player,Opponent,Player_Score,Opponent_Score,Result,Table Points,Gameweek,GW Rank,Luck Points,Player_Rank,Opponent_Rank,Luck_Factor,Score_Difference
Fish⭐⭐⭐⭐,ManéBall ⭐️⭐️⭐️Andy Uttley,40,38,Win,3,10,5.0,1,5.0,6.0,1.0,2
ManéBall ⭐️⭐️⭐️Andy Uttley,Fish⭐⭐⭐⭐,38,40,Lose,0,10,6.0,1,6.0,5.0,-1.0,2
Toney Rocky HorrorMikey Wade,Balls ,50,34,Win,3,10,1.0,3,1.0,8.0,7.0,16
Balls ,Toney Rocky HorrorMikey Wade,34,50,Lose,0,10,8.0,0,8.0,1.0,-7.0,16
Team Marsh,In Dulcis Dovus (Gloria ad Larkum) SCEd Dove,30,17,Win,3,10,9.0,0,9.0,10.0,1.0,13
In Dulcis Dovus (Gloria ad Larkum) SCEd Dove,Team Marsh,17,30,Lose,0,10,10.0,0,10.0,9.0,-1.0,13
Leif it out,Warren Barton's Bowl Cut,35,42,Lose,0,10,7.0,0,7.0,4.0,-3.0,7
Warren Barton's Bowl Cut,Leif it out,42,35,Win,3,10,4.0,3,4.0,7.0,3.0,7
Shaw's Wank Redemption ⭐️,Stephen Hawking’s football boots ⭐️,48,48,Draw,1,10,2.0,3,2.5,2.5,0.0,0
Stephen Hawking’s football boots ⭐️,Shaw's Wank Redemption ⭐️,48,48,Draw,1,10,2.0,3,2.5,2.5,0.0,0
Fish⭐⭐⭐⭐,Balls ,51,29,Win,3,11,3.0,3,3.0,9.0,6.0,22
Balls ,Fish⭐⭐⭐⭐,29,51,Lose,0,11,9.0,0,9.0,3.0,-6.0,22
ManéBall ⭐️⭐️⭐️Andy Uttley,In Dulcis Dovus (Gloria ad Larkum) SCEd Dove,44,49,Lose,0,11,5.0,1,6.0,4.0,-2.0,5
In Dulcis Dovus (Gloria ad Larkum) SCEd Dove,ManéBall ⭐️⭐️⭐️Andy Uttley,49,44,Win,3,11,4.0,3,4.0,6.0,2.0,5
Toney Rocky HorrorMikey Wade,Warren Barton's Bowl Cut,44,58,Lose,0,11,5.0,1,6.0,2.0,-4.0,14
Warren Barton's Bowl Cut,Toney Rocky HorrorMikey Wade,58,44,Win,3,11,2.0,3,2.0,6.0,4.0,14
Team Marsh,Stephen Hawking’s football boots ⭐️,19,35,Lose,0,11,10.0,0,10.0,8.0,-2.0,16
Stephen Hawking’s football boots ⭐️,Team Marsh,35,19,Win,3,11,8.0,0,8.0,10.0,2.0,16
Leif it out,Shaw's Wank Redemption ⭐️,44,62,Lose,0,11,5.0,1,6.0,1.0,-5.0,18
Shaw's Wank Redemption ⭐️,Leif it out,62,44,Win,3,11,1.0,3,1.0,6.0,5.0,18
Fish⭐⭐⭐⭐,In Dulcis Dovus (Gloria ad Larkum) SCEd Dove,21,46,Lose,0,12,10.0,0,10.0,3.0,-7.0,25
In Dulcis Dovus (Gloria ad Larkum) SCEd Dove,Fish⭐⭐⭐⭐,46,21,Win,3,12,3.0,3,3.0,10.0,7.0,25
Balls ,Warren Barton's Bowl Cut,38,36,Win,3,12,7.0,0,7.0,8.0,1.0,2
Warren Barton's Bowl Cut,Balls ,36,38,Lose,0,12,8.0,0,8.0,7.0,-1.0,2
ManéBall ⭐️⭐️⭐️Andy Uttley,Stephen Hawking’s football boots ⭐️,44,51,Lose,0,12,4.0,3,4.0,2.0,-2.0,7
Stephen Hawking’s football boots ⭐️,ManéBall ⭐️⭐️⭐️Andy Uttley,51,44,Win,3,12,2.0,3,2.0,4.0,2.0,7
Toney Rocky HorrorMikey Wade,Shaw's Wank Redemption ⭐️,31,65,Lose,0,12,9.0,0,9.0,1.0,-8.0,34
